videoId,frames_analyzed,analysis_date,humanPresence,faceSum,Gender,Smile,motionMagnitude,motionDirection,Saturation,Brightness,video_id,method,performance
m-JARE9nFgY,25,2025-08-13 18:37:13,0.0,,,0.0,0.902,0.477,0.203,0.579,m-JARE9nFgY,yolo_production,"{'total_time': 2.087618112564087, 'analysis_fps': 11.975370327331616, 'detection_fps': np.float64(46.04641296049831), 'gpu_used': True}"
GUm7ObKfsPU,25,2025-08-13 18:37:14,1.0,1.0,0.0,1.0,0.314,0.642,0.603,0.404,GUm7ObKfsPU,yolo_production,"{'total_time': 2.530050039291382, 'analysis_fps': 9.881227490268143, 'detection_fps': np.float64(51.82400390823628), 'gpu_used': True}"
7X1p8cm29SY,25,2025-08-13 18:37:15,1.0,2.0,0.0,1.0,0.694,0.571,0.654,0.253,7X1p8cm29SY,yolo_production,"{'total_time': 3.0207679271698, 'analysis_fps': 8.27604125929093, 'detection_fps': np.float64(43.43387432555202), 'gpu_used': True}"
MFhi5c7bUf4,25,2025-08-13 18:37:16,1.0,2.0,0.0,1.0,0.961,0.48,0.467,0.117,MFhi5c7bUf4,yolo_production,"{'total_time': 2.7243266105651855, 'analysis_fps': 9.176579600642498, 'detection_fps': np.float64(45.42843157797828), 'gpu_used': True}"
8Jb86MZBGZ4,25,2025-08-13 18:37:16,1.0,2.0,0.5,1.0,0.771,0.531,0.423,0.189,8Jb86MZBGZ4,yolo_production,"{'total_time': 2.642268419265747, 'analysis_fps': 9.461567120779948, 'detection_fps': np.float64(47.145490475307305), 'gpu_used': True}"
blIJbY2Ru3c,25,2025-08-13 18:37:16,0.0,,,0.0,0.981,0.535,0.216,0.719,blIJbY2Ru3c,yolo_production,"{'total_time': 1.8851356506347656, 'analysis_fps': 13.261645119056533, 'detection_fps': np.float64(52.68991907974713), 'gpu_used': True}"
WCQay392DPY,25,2025-08-13 18:37:17,1.0,1.0,0.5,1.0,0.962,0.474,0.238,0.578,WCQay392DPY,yolo_production,"{'total_time': 2.603410482406616, 'analysis_fps': 9.60278840733935, 'detection_fps': np.float64(46.822643816642206), 'gpu_used': True}"
yVPPtvBt_TA,25,2025-08-13 18:37:18,1.0,2.0,0.0,1.0,0.877,0.476,0.145,0.093,yVPPtvBt_TA,yolo_production,"{'total_time': 2.504401206970215, 'analysis_fps': 9.982426110648863, 'detection_fps': np.float64(44.209705614311616), 'gpu_used': True}"
MzMHG_3voeY,25,2025-08-13 18:37:19,1.0,1.0,1.0,1.0,0.889,0.537,0.258,0.736,MzMHG_3voeY,yolo_production,"{'total_time': 2.7325096130371094, 'analysis_fps': 9.149098645699983, 'detection_fps': np.float64(45.394374276221086), 'gpu_used': True}"
O1Y7sVqz-vc,25,2025-08-13 18:37:19,1.0,1.0,0.5,1.0,0.977,0.602,0.361,0.601,O1Y7sVqz-vc,yolo_production,"{'total_time': 3.1005945205688477, 'analysis_fps': 8.062969806001398, 'detection_fps': np.float64(44.232245859662314), 'gpu_used': True}"
hPHFcTH8mD8,25,2025-08-13 18:37:20,1.0,4.0,0.0,1.0,0.924,0.479,0.554,0.209,hPHFcTH8mD8,yolo_production,"{'total_time': 2.8726446628570557, 'analysis_fps': 8.702781907991247, 'detection_fps': np.float64(46.4727575528099), 'gpu_used': True}"
c88HXZio0q0,25,2025-08-13 18:37:20,1.0,2.0,,1.0,0.934,0.5,0.241,0.33,c88HXZio0q0,yolo_production,"{'total_time': 2.0493357181549072, 'analysis_fps': 12.19907493854078, 'detection_fps': np.float64(46.750548504469855), 'gpu_used': True}"
CHBxyqjaz3o,25,2025-08-13 18:37:22,1.0,1.0,0.5,1.0,0.904,0.634,0.349,0.454,CHBxyqjaz3o,yolo_production,"{'total_time': 2.6598806381225586, 'analysis_fps': 9.398917997179723, 'detection_fps': np.float64(48.395886976164164), 'gpu_used': True}"
OuvrgkBOsz0,25,2025-08-13 18:37:22,1.0,3.0,0.5,1.0,0.371,0.569,0.371,0.555,OuvrgkBOsz0,yolo_production,"{'total_time': 2.6843276023864746, 'analysis_fps': 9.313319275104126, 'detection_fps': np.float64(43.19149001899917), 'gpu_used': True}"
s2tXklqIgh4,25,2025-08-13 18:37:23,1.0,4.0,0.5,1.0,1.0,0.541,0.188,0.422,s2tXklqIgh4,yolo_production,"{'total_time': 2.0497570037841797, 'analysis_fps': 12.196567668189935, 'detection_fps': np.float64(54.273903989871044), 'gpu_used': True}"
mX0oohUB8ck,25,2025-08-13 18:37:23,1.0,2.0,0.0,1.0,0.677,0.571,0.314,0.58,mX0oohUB8ck,yolo_production,"{'total_time': 2.8857433795928955, 'analysis_fps': 8.663278993133083, 'detection_fps': np.float64(47.72470437895511), 'gpu_used': True}"
dwtIZedZEfY,25,2025-08-13 18:37:23,1.0,3.0,0.0,1.0,0.972,0.466,0.228,0.355,dwtIZedZEfY,yolo_production,"{'total_time': 1.9400010108947754, 'analysis_fps': 12.886591223202196, 'detection_fps': np.float64(56.73891139154889), 'gpu_used': True}"
AT-FbrDt7sI,25,2025-08-13 18:37:25,1.0,1.0,0.0,0.0,0.978,0.511,0.199,0.716,AT-FbrDt7sI,yolo_production,"{'total_time': 2.0332937240600586, 'analysis_fps': 12.295321479712372, 'detection_fps': np.float64(50.349696429643245), 'gpu_used': True}"
